"d1","d2","stratum","y"
0,0,1,-0.25164523635336
0,1,1,-0.468570583780477
0.5,0.5,1,0.0434475447062478
1,0,1,-0.104298753074064
1,1,1,0.260499720033145
0,0,1,-0.278521488065562
0,1,1,-0.340470556188561
0.5,0.5,1,-0.128827434632856
1,0,1,0.0559202353288682
1,1,1,-0.0320810002535295
0,0,1,-0.328930383188877
0,0,2,-0.0847469535968826
0,1,2,-0.229679322278393
0.5,0.5,2,-0.144865212566437
1,0,2,-0.333403979507062
1,1,2,0.0510898679229604
0,0,2,-0.173330179635365
0,1,2,-0.113482239396002
0.5,0.5,2,-0.0638618675896653
1,0,2,-0.254876296828002
