"method","step","stratum","d1","d2","cohort_size","new_dose","cost_increment","total_cost","n","unique_doses"
"P-GP",1,2,0.75,0,2,1,22.7142857142857,160.351648351648,22,6
"P-GP",2,2,0.25,1,2,1,22.7142857142857,183.065934065934,24,7
"P-GP",3,2,0.75,1,2,1,22.7142857142857,205.78021978022,26,8
"P-GP",4,2,0.25,0,2,1,22.7142857142857,228.494505494506,28,9
"P-GP",5,1,0,0.75,2,1,20.0769230769231,248.571428571429,30,10
"P-GP",6,2,1,0.25,2,1,22.7142857142857,271.285714285714,32,11
"P-GP",7,2,0.25,0.25,2,1,22.7142857142857,294,34,12
"P-GP",8,2,0.25,0.5,2,1,22.7142857142857,316.714285714286,36,13
"P-GP",9,2,0.75,0.25,2,1,22.7142857142857,339.428571428571,38,14
"P-GP",10,1,0,1,2,0,5.07692307692308,344.505494505495,40,14
"P-GP",11,1,0,1,2,0,5.07692307692308,349.582417582418,42,14
"AB-GP",1,2,0.75,0,2,1,22.7142857142857,160.351648351648,22,6
"AB-GP",2,1,0,0.75,2,1,20.0769230769231,180.428571428571,24,7
"AB-GP",3,2,1,0.25,2,1,22.7142857142857,203.142857142857,26,8
"AB-GP",4,1,0,0.25,2,1,20.0769230769231,223.21978021978,28,9
"AB-GP",5,2,1,0.75,2,1,22.7142857142857,245.934065934066,30,10
"AB-GP",6,1,0,1,2,0,5.07692307692308,251.010989010989,32,10
"AB-GP",7,2,0.5,0,2,1,22.7142857142857,273.725274725275,34,11
"AB-GP",8,2,1,0,2,0,7.71428571428571,281.43956043956,36,11
"AB-GP",9,1,0,1,2,0,5.07692307692308,286.516483516484,38,11
"AB-GP",10,2,1,0,2,0,7.71428571428571,294.230769230769,40,11
"AB-GP",11,1,0,1,2,0,5.07692307692308,299.307692307692,42,11
"AB-GP",12,2,1,0,2,0,7.71428571428571,307.021978021978,44,11
"AB-GP",13,1,0,1,2,0,5.07692307692308,312.098901098901,46,11
"AB-GP",14,2,1,0,2,0,7.71428571428571,319.813186813187,48,11
"AB-GP",15,1,0,1,2,0,5.07692307692308,324.89010989011,50,11
"AB-GP",16,1,0,1,2,0,5.07692307692308,329.967032967033,52,11
"AB-GP",17,2,1,0,2,0,7.71428571428571,337.681318681319,54,11
"AB-GP",18,1,0,1,2,0,5.07692307692308,342.758241758242,56,11
"AB-GP",19,1,0,1,2,0,5.07692307692308,347.835164835165,58,11
"CA-AB-GP",1,1,0,1,2,0,5.07692307692308,142.714285714286,22,5
"CA-AB-GP",2,2,0.75,0,2,1,22.7142857142857,165.428571428571,24,6
"CA-AB-GP",3,2,1,0,2,0,7.71428571428571,173.142857142857,26,6
"CA-AB-GP",4,1,0,1,2,0,5.07692307692308,178.21978021978,28,6
"CA-AB-GP",5,1,0,1,2,0,5.07692307692308,183.296703296703,30,6
"CA-AB-GP",6,2,1,0,2,0,7.71428571428571,191.010989010989,32,6
"CA-AB-GP",7,1,0,0.75,2,1,20.0769230769231,211.087912087912,34,7
"CA-AB-GP",8,2,1,0,2,0,7.71428571428571,218.802197802198,36,7
"CA-AB-GP",9,1,0,0.75,2,0,5.07692307692308,223.879120879121,38,7
"CA-AB-GP",10,1,0,1,2,0,5.07692307692308,228.956043956044,40,7
"CA-AB-GP",11,2,1,0,2,0,7.71428571428571,236.67032967033,42,7
"CA-AB-GP",12,1,0,1,2,0,5.07692307692308,241.747252747253,44,7
"CA-AB-GP",13,1,0,1,2,0,5.07692307692308,246.824175824176,46,7
"CA-AB-GP",14,2,1,0,2,0,7.71428571428571,254.538461538461,48,7
"CA-AB-GP",15,1,0,1,2,0,5.07692307692308,259.615384615385,50,7
"CA-AB-GP",16,2,1,0,2,0,7.71428571428571,267.32967032967,52,7
"CA-AB-GP",17,1,0,1,2,0,5.07692307692308,272.406593406593,54,7
"CA-AB-GP",18,2,1,0,2,0,7.71428571428571,280.120879120879,56,7
"CA-AB-GP",19,1,0,1,2,0,5.07692307692308,285.197802197802,58,7
"CA-AB-GP",20,1,0,1,2,0,5.07692307692308,290.274725274725,60,7
"CA-AB-GP",21,2,1,0,2,0,7.71428571428571,297.989010989011,62,7
"CA-AB-GP",22,1,0,1,2,0,5.07692307692308,303.065934065934,64,7
"CA-AB-GP",23,2,1,0,2,0,7.71428571428571,310.78021978022,66,7
"CA-AB-GP",24,1,0,1,2,0,5.07692307692308,315.857142857143,68,7
"CA-AB-GP",25,2,1,0,2,0,7.71428571428571,323.571428571429,70,7
"CA-AB-GP",26,1,0,1,2,0,5.07692307692308,328.648351648352,72,7
"CA-AB-GP",27,1,0,1,2,0,5.07692307692308,333.725274725275,74,7
"CA-AB-GP",28,2,0.75,0,2,0,7.71428571428571,341.439560439561,76,7
"CA-AB-GP",29,2,1,0,2,0,7.71428571428571,349.153846153846,78,7
