"d1","d2","stratum","y_mean"
0,0,1,-0.216275064243023
0.25,0,1,-0.200996421328718
0.5,0,1,-0.16146829383794
0.75,0,1,-0.0980768195353988
1,0,1,-0.0447097777512527
0,0.25,1,-0.237489457814387
0.25,0.25,1,-0.207215814920406
0.5,0.25,1,-0.154523284744436
0.75,0.25,1,-0.0935612692202289
1,0.25,1,-0.051183869133327
0,0.5,1,-0.235755307973633
0.25,0.5,1,-0.181587650378054
0.5,0.5,1,-0.109108489195512
0.75,0.5,1,-0.0456460500836185
1,0.5,1,-0.0125635439871162
0,0.75,1,-0.283615103764831
0.25,0.75,1,-0.164196459033358
0.5,0.75,1,-0.0579988806697878
0.75,0.75,1,0.0136467627611865
1,0.75,1,0.0564265592082771
0,1,1,-0.415148531345208
0.25,1,1,-0.188595953794839
0.5,1,1,-0.0374263793010988
0.75,1,1,0.0311938906902436
1,1,1,0.0823661012512207
0,0,2,-0.219980255931659
0.25,0,2,-0.202992387524313
0.5,0,2,-0.167930678057497
0.75,0,2,-0.200633551617273
1,0,2,-0.325192788534849
0,0.25,2,-0.239198683307428
0.25,0.25,2,-0.208142112842565
0.5,0.25,2,-0.157311673489817
0.75,0.25,2,-0.132253670264154
1,0.25,2,-0.153740601215201
0,0.5,2,-0.229292923754076
0.25,0.5,2,-0.178799261632673
0.5,0.5,2,-0.109108489195512
0.75,0.5,2,-0.0484344388289994
1,0.5,2,-0.0190259282066732
0,0.75,2,-0.177353179994321
0.25,0.75,2,-0.123651462145114
0.5,0.75,2,-0.0552104919244069
0.75,0.75,2,0.0127204648390276
1,0.75,2,0.0544305930126825
0,1,2,-0.12725513718434
0.25,1,2,-0.0823340300243286
0.5,1,2,-0.0309639950815418
0.75,1,2,0.0294846651972024
1,1,2,0.078660909562585
