"method","n","unique_doses_mean","unique_doses_se","n_replicates"
"AB-GP",22,5.434,0.015680876566375,1000
"AB-GP",24,6.09,0.0248700325395549,1000
"AB-GP",26,6.857,0.0277005111562642,1000
"AB-GP",28,7.58,0.0309929114566631,1000
"AB-GP",30,8.237,0.0324327439924975,1000
"AB-GP",32,8.827,0.0350471011540084,1000
"AB-GP",34,9.36,0.0363830142198763,1000
"AB-GP",36,9.782,0.0371194538463843,1000
"AB-GP",38,10.176,0.0394281444982969,1000
"AB-GP",40,10.576,0.040962200891821,1000
"AB-GP",42,10.944,0.0434136931019321,1000
"AB-GP",44,11.306,0.046459902308577,1000
"AB-GP",46,11.68,0.0505584429759873,1000
"AB-GP",48,12.009,0.0545150519663229,1000
"AB-GP",50,12.339,0.0586132622749708,1000
"AB-GP",52,12.694,0.06381564413556,1000
"AB-GP",54,13.048,0.0683693671929935,1000
"AB-GP",56,13.378,0.0741931305487282,1000
"AB-GP",58,13.714,0.0794009351866117,1000
"AB-GP",60,14.03,0.0848781733091865,1000
"AB-GP",62,14.302,0.0910554066878353,1000
"AB-GP",64,14.576,0.0967863192377497,1000
"AB-GP",66,14.863,0.102785192492867,1000
"AB-GP",68,15.119,0.107705336169753,1000
"AB-GP",70,15.369,0.112558911279865,1000
"AB-GP",72,15.628,0.117522029540965,1000
"AB-GP",74,15.844,0.12236272568326,1000
"AB-GP",76,16.075,0.127080779524382,1000
"AB-GP",78,16.278,0.130750953387774,1000
"AB-GP",80,16.482,0.134513084009585,1000
"AB-GP",82,16.652,0.137228742352787,1000
"AB-GP",84,16.813,0.139482925429912,1000
"AB-GP",86,16.945,0.140924926236755,1000
"AB-GP",88,17.066,0.142076844805302,1000
"AB-GP",90,17.197,0.142648307173761,1000
"AB-GP",92,17.311,0.143418436220201,1000
"AB-GP",94,17.422,0.144286987406123,1000
"AB-GP",96,17.529,0.14476918566158,1000
"AB-GP",98,17.618,0.145262442417774,1000
"AB-GP",100,17.704,0.145160102836335,1000
"AB-GP",102,17.794,0.145053799000938,1000
"AB-GP",104,17.874,0.144883108453384,1000
"AB-GP",106,17.957,0.144886656194224,1000
"AB-GP",108,18.034,0.145051314657551,1000
"AB-GP",110,18.106,0.14491295236715,1000
"AB-GP",112,18.164,0.144934847811388,1000
"AB-GP",114,18.228,0.144702988756124,1000
"AB-GP",116,18.288,0.144388032412329,1000
"AB-GP",118,18.345,0.144439737738054,1000
"AB-GP",120,18.399,0.144328201089148,1000
"CA-AB-GP",22,5.054,0.00715088352129547,1000
"CA-AB-GP",24,5.137,0.0135799637486783,1000
"CA-AB-GP",26,5.357,0.0195431044855451,1000
"CA-AB-GP",28,5.676,0.0272353770997533,1000
"CA-AB-GP",30,6.204,0.0296185965444222,1000
"CA-AB-GP",32,6.695,0.0306743527383369,1000
"CA-AB-GP",34,7.118,0.0307411942029099,1000
"CA-AB-GP",36,7.481,0.0307991491373964,1000
"CA-AB-GP",38,7.793,0.0316093364395735,1000
"CA-AB-GP",40,8.089,0.0318762465653517,1000
