"method","stratum","n_patients_mean","n_patients_se","n_replicates"
"AB-GP",1,41.844,0.674915680048386,1000
"AB-GP",2,12.506,0.181760834617915,1000
"AB-GP",3,11.916,0.146062583430111,1000
"CA-AB-GP",1,50.618,0.694533262308187,1000
"CA-AB-GP",2,14.234,0.206319683529739,1000
"CA-AB-GP",3,10.754,0.135313686646229,1000
"IND-GP",1,22.636,0.205089164915082,1000
"IND-GP",2,16.29,0.186597745749295,1000
"IND-GP",3,15.338,0.118168184041728,1000
"P-GP",1,30.036,0.330290471851363,1000
"P-GP",2,16.56,0.137000617404336,1000
"P-GP",3,14.552,0.0936806920985967,1000
"S-GP",1,23.946,0.173202433825518,1000
"S-GP",2,17.274,0.138130387692224,1000
"S-GP",3,16.074,0.0883534398330384,1000
