"method","stratum","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","value_regret_mean","value_regret_se","rpsel_mean","rpsel_se","n_replicates"
"AB-GP",1,0.958,0.00634635929303378,0.318490901973439,0.016025615923448,0.0547060811304083,0.00452490687040456,0.227271753643078,0.00462940231839412,1000
"AB-GP",2,0.862,0.0109121526325045,0.922253219856888,0.013734541714222,0.0906784741916355,0.00541509402341709,0.305023769150682,0.00491863784625788,1000
"AB-GP",3,0.854,0.0111717862854966,0.940341858203965,0.0138545710452675,0.0983450221711369,0.00585540945682177,0.318715341450883,0.00516542737011066,1000
"AB-GP",4,0.938,0.00762982399628027,0.343350008541914,0.0183424976176398,0.174309346118184,0.00954214807490931,0.351666876165786,0.00736447789725359,1000
"CA-AB-GP",1,0.98,0.00442940398017833,0.283449271413096,0.0149291456528936,0.0464136278434312,0.00382324742867845,0.177478044017259,0.00339739341544649,1000
"CA-AB-GP",2,0.879,0.0103182103809462,0.874676614140828,0.0145310692190144,0.076655517955686,0.0047066713941373,0.277413064464313,0.00476996056721052,1000
"CA-AB-GP",3,0.839,0.0116281646967273,0.950550683232568,0.013879699011533,0.0985215305262303,0.00585537243286196,0.313413245154283,0.0050964354029122,1000
"CA-AB-GP",4,0.953,0.00669595667816301,0.322293038259707,0.0175908110706542,0.175916636731637,0.00989152707273949,0.355122345522208,0.00762598679050171,1000
"IND-GP",1,0.865,0.010811655372416,0.491436426273902,0.0239387406150234,0.202744194091548,0.0129012840414788,0.563057382608423,0.0140083091507509,1000
"IND-GP",2,0.747,0.0137542786135871,1.13607136942825,0.0194607441823163,0.250727547887482,0.0126189491147214,0.504858346431883,0.0105211956410793,1000
"IND-GP",3,0.777,0.0131698308434256,1.13517882155213,0.0192546041995778,0.228637910311071,0.012378346767731,0.569818045911254,0.0111319044874826,1000
"IND-GP",4,0.848,0.0113589183034752,0.520210937466171,0.027877549000564,0.200514685145223,0.0110174093067528,0.539539063940468,0.0103896409434991,1000
"P-GP",1,0.942,0.00739531545579299,0.315887591709579,0.0175363209355862,0.0775564033235765,0.00707629218929056,0.242940503796704,0.00487332282816172,1000
"P-GP",2,0.889,0.00993870101058372,0.915056308253576,0.014313519118473,0.0946353559196005,0.00642650019752956,0.265474093548584,0.00449061917231701,1000
"P-GP",3,0.869,0.0106748748448379,0.94857449988489,0.0138346599518787,0.0954025923204032,0.00635374591272473,0.291467656715622,0.00499947420525122,1000
"P-GP",4,0.945,0.0072129762946392,0.274127085983654,0.0184172075588124,0.136041351423704,0.00914729692803602,0.321418294932079,0.00578769784216645,1000
"S-GP",1,0.96,0.00619987406633703,0.299436125993857,0.0169004032519899,0.0773444320874724,0.00719849451381594,0.317620926498257,0.00730567924275752,1000
"S-GP",2,0.866,0.0107777622983697,0.967502857161206,0.012849253858089,0.0940608983809236,0.00596445189658681,0.257680749138201,0.0056569135770882,1000
"S-GP",3,0.86,0.0109781838443579,0.974534064807776,0.0128626904391955,0.09553578828186,0.00604433742091728,0.256052420150192,0.00555726636257059,1000
"S-GP",4,0.96,0.00619987406633703,0.299436125993857,0.0169004032519899,0.166579331357611,0.00978249974154288,0.284965367417378,0.00626854177567324,1000
