"method","n","regret_mean","regret_se","near_optimal_mean","near_optimal_se","dose_distance_mean","dose_distance_se","rpsel_mean","rpsel_se","pmad_mean","pmad_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","n_replicates"
"AB-GP",20,0.121966014344117,0.00661409936199433,0.939,0.00564010734036249,1.09226401043504,0.0100460270131693,0.537534590684709,0.00637762176262516,0.402178033799287,0.00825279941142039,5,0,95,0,1000
"AB-GP",22,0.14910964085082,0.00716734741802732,0.8865,0.00761089191065513,1.08869798798019,0.0107075082599893,0.483375509607398,0.00613093268169822,0.356922122750228,0.00756928117534186,5.47,0.0157907995158367,104.05,0.236861992737551,1000
"AB-GP",24,0.176293819683926,0.00782881726232372,0.838,0.0088223485441142,1.09729677742204,0.0118553800151022,0.459593649307874,0.00619976075127691,0.338461626092492,0.00750822511067642,6.073,0.0269888754748952,115.095,0.404833132123428,1000
"AB-GP",26,0.198746008966514,0.0080967313434794,0.797,0.0095594132865141,1.0937584198751,0.0117051692118611,0.436894193012986,0.00592489811285059,0.318775814526384,0.00707443134526352,6.818,0.0315574376632811,128.27,0.473361564949216,1000
"AB-GP",28,0.203715126381243,0.00823294956997269,0.782,0.00995364632057394,1.08124404227674,0.0119395162931455,0.417380788634205,0.00547746414688255,0.304082666449942,0.00650973008083021,7.561,0.0352919895234673,141.415,0.529379842852009,1000
"AB-GP",30,0.21649002465388,0.00862960328391278,0.769,0.010136160108332,1.09147909545841,0.0125098145671849,0.404685138397986,0.00537824949437495,0.295661408713031,0.00637368880451799,8.198,0.0378447912958736,152.97,0.567671869438104,1000
"AB-GP",32,0.211967642725999,0.00857024131969353,0.774,0.00992585122407759,1.07132861445108,0.0122980358068026,0.392266711148075,0.00518811000147507,0.286265385908906,0.00616493154414718,8.777,0.0404587185648274,163.655,0.606880778472411,1000
"AB-GP",34,0.213767056150979,0.00849662982346294,0.7725,0.00980254251915491,1.06210812694238,0.0121102923707535,0.381138504397737,0.00502551616147947,0.277723971977105,0.00597848992344669,9.279,0.0424377185998489,173.185,0.636565778997733,1000
"AB-GP",36,0.201901093814464,0.00814012274597542,0.784,0.00953598106829785,1.04047465437516,0.0113529041860502,0.366913446040106,0.00481589028946616,0.266158301301899,0.00571066008847797,9.728,0.0441130588597295,181.92,0.661695882895943,1000
"AB-GP",38,0.192475794191758,0.00795126844870807,0.7915,0.00934693078583099,1.0170180182877,0.0112032602502692,0.357437143038475,0.00471903422267814,0.25969853007048,0.00558091013492871,10.129,0.0458307697890779,189.935,0.687461546836169,1000
"AB-GP",40,0.180810086378476,0.00738032984001766,0.792,0.00918260966829802,0.995439531899618,0.0106939189479374,0.345565039015579,0.00460044792636049,0.248655308852058,0.00545722148277321,10.49,0.0467127614478322,197.35,0.700691421717484,1000
"AB-GP",42,0.176885648557658,0.00719690609589546,0.7985,0.00912310150009201,0.98919055924981,0.0103535599593406,0.331638649397143,0.00458649865328833,0.235843723564809,0.00536468781514765,10.847,0.0485174705126405,204.705,0.727762057689608,1000
"AB-GP",44,0.177426179768698,0.00717999071970796,0.801,0.00899888770793257,0.987088416540254,0.0103579239044973,0.325824802298137,0.00463737109030686,0.231458233896644,0.00542219571217246,11.181,0.0502271018650465,211.715,0.753406527975698,1000
"AB-GP",46,0.171027257762126,0.00700553771568877,0.809,0.0088655286135457,0.976791064313198,0.0103863589796947,0.318206577451498,0.00452663170388256,0.22583023444817,0.00528749469397724,11.533,0.052284267659064,218.995,0.78426401488596,1000
"AB-GP",48,0.172330508809618,0.00704714868965549,0.8015,0.00896817585566754,0.973482091215891,0.0104231139952142,0.307594834871706,0.004322881839339,0.216292099534754,0.00504248761980833,11.848,0.0540908663437906,225.72,0.81136299515686,1000
"AB-GP",50,0.1735759085916,0.00719535389812861,0.809,0.00892180467162326,0.976494884739575,0.0103972109639564,0.298425380583827,0.00438357892299293,0.208513739633084,0.00506275766080242,12.159,0.0563817159892983,232.385,0.845725739839475,1000
"AB-GP",52,0.165249944803353,0.00674480678559032,0.8085,0.00884058289401247,0.958979045608012,0.0102780161802531,0.294975648164505,0.00432546530362396,0.206405100238618,0.0050491614087553,12.466,0.0584659068369102,238.99,0.876988602553653,1000
"AB-GP",54,0.162250699061703,0.00685772655779213,0.816,0.00878756059559314,0.95972873505996,0.0104858285606507,0.286732546083336,0.00421655879296312,0.200560390114345,0.00489485824181495,12.747,0.0606025054239811,245.205,0.909037581359717,1000
"AB-GP",56,0.158669684567762,0.00669907331204009,0.8185,0.00868234606158572,0.95272873505996,0.010154862812656,0.279662837678361,0.00408453738463736,0.195552959553922,0.0047266729166072,13.023,0.0635492683632905,251.345,0.953239025449357,1000
"AB-GP",58,0.158250199652326,0.00657802241546641,0.8135,0.00857562191863023,0.947326305664093,0.0102142286977815,0.271158469158458,0.00385076008188397,0.187725326935265,0.00444911960921633,13.3,0.0663204221819976,257.5,0.994806332729964,1000
"AB-GP",60,0.15311820699754,0.00620662328734835,0.816,0.00834947385849634,0.934035946351445,0.0096847924672622,0.266270494401326,0.00385225437446155,0.182542917533521,0.0044345709087741,13.569,0.069166632294937,263.535,1.03749948442406,1000
"AB-GP",62,0.149779855090584,0.00624035045811982,0.8225,0.0083853481778674,0.930957208678648,0.00972048012797466,0.263184224604461,0.00390918022378631,0.180186946861531,0.00451518420483846,13.843,0.0723850163403352,269.645,1.08577524510503,1000
"AB-GP",64,0.144817227443979,0.00618202686184929,0.8315,0.00827201161605665,0.926704708927099,0.00975045332596544,0.256395777975051,0.00384141421734582,0.175284108611219,0.00440232341166147,14.103,0.0759088476605537,275.545,1.13863271490831,1000
"AB-GP",66,0.13989849702813,0.00587255373921646,0.8375,0.00805659100728457,0.914022179836103,0.00954051179326604,0.257142002388724,0.00392471327293155,0.177607678802167,0.00447054884967133,14.364,0.0797613055677116,281.46,1.19641958351567,1000
"AB-GP",68,0.136670481672052,0.00573065195951208,0.841,0.00795501617108867,0.904935296247163,0.0097909676892997,0.250383648107078,0.00374312254267443,0.170886541735475,0.00429207750148971,14.619,0.0834673936684608,287.285,1.25201090502691,1000
"AB-GP",70,0.138028528471523,0.00591543830379716,0.8425,0.00787437335638562,0.902957684733857,0.00988586642330431,0.244459584907057,0.00352131129547779,0.165086367959177,0.0040266885729214,14.831,0.0869367413525317,292.465,1.30405112028798,1000
"AB-GP",72,0.135311329851177,0.00583637035576822,0.854,0.00759879870385719,0.903812262755316,0.00979013451857056,0.237828801731349,0.00337764131108091,0.160136734940385,0.00383622171583531,15.073,0.0905641920014355,298.095,1.35846288002153,1000
"AB-GP",74,0.128199541644253,0.00548100910913416,0.855,0.00755195551046429,0.888878947061059,0.00951949489649908,0.231523241802786,0.00333767363874932,0.153991113067482,0.00378508533721517,15.302,0.0944336471482157,303.53,1.41650470722324,1000
