"factor","factor_label","setting_label","n_mean","n_se","regret_mean","regret_se","near_optimal_mean","near_optimal_se","unique_doses_mean","unique_doses_se","total_cost_mean","total_cost_se","n_replicates"
"lambda_c","lambda_c","0.0",51.48,0.298145082955414,0.096347620601416,0.00451978465787908,0.9092,0.00486559698639684,11.609,0.0539725118188141,547.604,0.0555622178187455,1000
"lambda_c","lambda_c","0.5",60.882,0.29569157835405,0.0902962826856959,0.00430076739149078,0.92115,0.00422765307831077,10.763,0.0496114129237648,547.79,0.0557804257813139,1000
"lambda_c","lambda_c","1.0",70.692,0.287478311842441,0.0894639209233949,0.00454120197247599,0.92355,0.00432048192497829,9.733,0.0439504566829816,547.62,0.0546089525009286,1000
"c_new","c_new","5",94.384,0.619403103159973,0.0680131480616217,0.00285514816192041,0.94175,0.00361766845150644,15.047,0.132243257972871,544.183,0.24051292809263,1000
"c_new","c_new","10",80.598,0.514321808717969,0.0754806430000574,0.00309030300474044,0.931,0.00383780259116187,13.45,0.0989812977147567,547.640666666667,0.0542303567963997,1000
"c_new","c_new","15",69.586,0.389451250192211,0.0804218618823838,0.00346453388080782,0.92915,0.00386039896645155,11.973,0.0683003362798159,547.377,0.0537502876900221,1000
"c_new","c_new","20",60.882,0.29569157835405,0.0902962826856959,0.00430076739149078,0.92115,0.00422765307831077,10.763,0.0496114129237648,547.79,0.0557804257813139,1000
"c_new","c_new","30",48.722,0.187183743294533,0.118313277636353,0.00624857642585712,0.90165,0.00543546886862779,8.894,0.0280989955968813,547.151333333333,0.0483953199791565,1000
"budget","B_max","0.8 x primary (440)",44.458,0.153759155427824,0.114205107380022,0.00588772600276124,0.9052,0.0052240071066424,8.944,0.0301624563617384,437.83,0.0542692939642511,1000
"budget","B_max","1.0 x primary (550)",60.882,0.29569157835405,0.0902962826856959,0.00430076739149078,0.92115,0.00422765307831077,10.763,0.0496114129237648,547.79,0.0557804257813139,1000
"budget","B_max","1.2 x primary (660)",78.806,0.50124406191955,0.0740386585662179,0.00320630820616222,0.93425,0.00383263964215612,12.311,0.0723430197912177,657.719333333333,0.0544974675923004,1000
"cohort_size","Cohort size r","1",56,0.36364300658233,0.0931982625082924,0.00423564193411578,0.9149,0.00474715973246377,11.348,0.0559466355201636,548.879333333333,0.0271448533848973,1000
"cohort_size","Cohort size r","2",60.882,0.29569157835405,0.0902962826856959,0.00430076739149078,0.92115,0.00422765307831077,10.763,0.0496114129237648,547.79,0.0557804257813139,1000
"cohort_size","Cohort size r","4",66.396,0.262983543866046,0.0946069154334853,0.00407781028705067,0.9143,0.00434849622506671,10.127,0.0425756231156243,545.205333333333,0.107474286589089,1000
