"method","budget_fraction","regret_mean","regret_se","n_replicates"
"S-GP",0.38,0.010251071688318,0.00193878630388043,1000
"S-GP",0.4048,0.00894501504741762,0.00143417514997641,1000
"S-GP",0.4296,0.056136171827747,0.00506972004764051,1000
"S-GP",0.4544,0.0804505858366668,0.00619769758709744,1000
"S-GP",0.4792,0.149657469756747,0.00929816255754538,1000
"S-GP",0.504,0.20719155846423,0.0109680120821368,1000
"S-GP",0.5288,0.198030170750107,0.0107032929092413,1000
"S-GP",0.5536,0.16233205634116,0.00923312770210582,1000
"S-GP",0.5784,0.14315472130905,0.00825030961091389,1000
"S-GP",0.6032,0.137990403009613,0.00799755214335862,1000
"S-GP",0.628,0.137388488821389,0.00778852426599062,1000
"S-GP",0.6528,0.134909474093214,0.0080762397833368,1000
"S-GP",0.6776,0.125339563754393,0.00770603902206066,1000
"S-GP",0.7024,0.114544100852315,0.00720239971577464,1000
"S-GP",0.7272,0.114470535895578,0.00738419440142737,1000
"S-GP",0.752,0.10513334281341,0.00705450258685653,1000
"S-GP",0.7768,0.109046948236988,0.00744601516841301,1000
"S-GP",0.8016,0.109298921121149,0.0074899987501451,1000
"S-GP",0.8264,0.109548598687835,0.00744770114859656,1000
"S-GP",0.8512,0.102022190903155,0.0072242769067158,1000
"S-GP",0.876,0.100381203112078,0.0073522284905069,1000
"S-GP",0.9008,0.0942355717973354,0.0069377713467395,1000
"S-GP",0.9256,0.0993587799617638,0.00714770775245147,1000
"S-GP",0.9504,0.0977279273066688,0.00708748297009373,1000
"S-GP",0.9752,0.092107691144023,0.00675891151019656,1000
"S-GP",1,0.0945985303127874,0.00701412160268975,1000
"P-GP",0.38,0.0458338979213418,0.00407039855488744,1000
"P-GP",0.4048,0.0450535535390923,0.00401782126663848,1000
"P-GP",0.4296,0.104331292690626,0.0069371959746118,1000
"P-GP",0.4544,0.114516127438922,0.0070856201271339,1000
"P-GP",0.4792,0.187799786131597,0.00952755639243841,1000
"P-GP",0.504,0.193364380361552,0.00946013431696063,1000
"P-GP",0.5288,0.222933281202382,0.00961566919202468,1000
"P-GP",0.5536,0.199228623710602,0.00859937284097661,1000
"P-GP",0.5784,0.206607899822718,0.00883126952917855,1000
"P-GP",0.6032,0.189727191243909,0.00833898448317469,1000
"P-GP",0.628,0.169421470596918,0.00776988751693971,1000
"P-GP",0.6528,0.160421441634136,0.0077125696811757,1000
"P-GP",0.6776,0.152455148701039,0.0076167694345266,1000
"P-GP",0.7024,0.148554089004156,0.00776782913481783,1000
"P-GP",0.7272,0.151149431635624,0.00783521176823606,1000
"P-GP",0.752,0.141565630005417,0.00759368152694592,1000
"P-GP",0.7768,0.141622790808449,0.0076332249516175,1000
"P-GP",0.8016,0.133017887175038,0.00732851252089321,1000
"P-GP",0.8264,0.130364227332929,0.00743328746491616,1000
"P-GP",0.8512,0.128195342425937,0.0073819632275157,1000
"P-GP",0.876,0.121670627979844,0.0070952224055104,1000
"P-GP",0.9008,0.115518042188064,0.00696012208125237,1000
"P-GP",0.9256,0.106119015795166,0.00649955676419367,1000
"P-GP",0.9504,0.106197799270203,0.00661476378945055,1000
"P-GP",0.9752,0.102422973422429,0.00640525356695856,1000
"P-GP",1,0.0923799639913017,0.00613212705371765,1000
"IND-GP",0.38,0.105482648295923,0.00573030766514043,1000
"IND-GP",0.4048,0.105482648295923,0.00573030766514043,1000
"IND-GP",0.4296,0.120397451182605,0.00609255338419295,1000
"IND-GP",0.4544,0.139315203599364,0.00624346557408019,1000
"IND-GP",0.4792,0.15111711672273,0.00642579055337372,1000
"IND-GP",0.504,0.162248938002584,0.00633988887002559,1000
"IND-GP",0.5288,0.177424086003356,0.00658670963687589,1000
"IND-GP",0.5536,0.186879564833546,0.00665616506769302,1000
"IND-GP",0.5784,0.194659242005847,0.00677147172269346,1000
"IND-GP",0.6032,0.202632198570778,0.00678748777739995,1000
"IND-GP",0.628,0.209543011418913,0.00695819700677974,1000
"IND-GP",0.6528,0.216018569667132,0.00694126184056579,1000
"IND-GP",0.6776,0.220599464329717,0.00699409377202792,1000
"IND-GP",0.7024,0.219900138664493,0.00693595935256683,1000
"IND-GP",0.7272,0.218572928717107,0.00686650739601943,1000
"IND-GP",0.752,0.217648740580563,0.00678817621110653,1000
"IND-GP",0.7768,0.213610100232764,0.00664342700413002,1000
"IND-GP",0.8016,0.217263286251718,0.00668019842627429,1000
"IND-GP",0.8264,0.221404276045828,0.00675148045989547,1000
"IND-GP",0.8512,0.218462200438483,0.00663714617111556,1000
"IND-GP",0.876,0.213198540645585,0.00647049389170133,1000
"IND-GP",0.9008,0.212943025293627,0.00650090360988871,1000
"IND-GP",0.9256,0.212613917275937,0.00654729280625833,1000
"IND-GP",0.9504,0.208642034708727,0.00649416386176299,1000
"IND-GP",0.9752,0.206893059912878,0.00643286353295419,1000
"IND-GP",1,0.210935798339659,0.00647581610231318,1000
"AB-GP",0.38,0.0544093601112267,0.00443799480440638,1000
"AB-GP",0.4048,0.0541087458933851,0.00435650374978859,1000
"AB-GP",0.4296,0.143596054988039,0.00722551386422793,1000
"AB-GP",0.4544,0.165279673237624,0.00759747588054555,1000
"AB-GP",0.4792,0.15961028312458,0.00757041535309248,1000
"AB-GP",0.504,0.161225060952232,0.00756154496482881,1000
"AB-GP",0.5288,0.162361698751487,0.00760159933687406,1000
"AB-GP",0.5536,0.15562981756918,0.0072727718058782,1000
"AB-GP",0.5784,0.163668487896283,0.00756438007663538,1000
"AB-GP",0.6032,0.151377455468536,0.00709068321164446,1000
"AB-GP",0.628,0.148896743941736,0.00720154805044746,1000
"AB-GP",0.6528,0.140002915978018,0.00686044849919462,1000
"AB-GP",0.6776,0.129043391465575,0.0062373828279931,1000
"AB-GP",0.7024,0.120195636727613,0.00590582228038014,1000
"AB-GP",0.7272,0.116359260146132,0.00587238817237986,1000
"AB-GP",0.752,0.116732830311255,0.00582947029180379,1000
"AB-GP",0.7768,0.109495285432319,0.00527156172638495,1000
"AB-GP",0.8016,0.107134664126384,0.00505754740495666,1000
"AB-GP",0.8264,0.104585183487652,0.00497042483331675,1000
"AB-GP",0.8512,0.101416504910635,0.00482980816088835,1000
"AB-GP",0.876,0.0998180416057898,0.00478470180382374,1000
"AB-GP",0.9008,0.0976964643826318,0.00471461491456279,1000
"AB-GP",0.9256,0.0913871323209335,0.00448174931970088,1000
"AB-GP",0.9504,0.0936031490274085,0.00458643341957599,1000
"AB-GP",0.9752,0.091751639203913,0.00445729222087003,1000
"AB-GP",1,0.0890394711060956,0.00421253214090903,1000
"CA-AB-GP",0.38,0.0544093601112267,0.00443799480440638,1000
"CA-AB-GP",0.4048,0.0506355909808547,0.00415578263547128,1000
"CA-AB-GP",0.4296,0.0981500718972739,0.00640297383893472,1000
"CA-AB-GP",0.4544,0.152050707691671,0.00768292814022002,1000
"CA-AB-GP",0.4792,0.14781264233568,0.00728508940270974,1000
"CA-AB-GP",0.504,0.159338543255045,0.00739947323261111,1000
"CA-AB-GP",0.5288,0.148812798786353,0.00721881458609919,1000
"CA-AB-GP",0.5536,0.144858797864218,0.00716157424610549,1000
"CA-AB-GP",0.5784,0.136404695448462,0.007037061855836,1000
"CA-AB-GP",0.6032,0.126423910570538,0.00675912966252377,1000
"CA-AB-GP",0.628,0.124106256909486,0.00641052870095395,1000
"CA-AB-GP",0.6528,0.116074097705893,0.00597801331851149,1000
"CA-AB-GP",0.6776,0.10930069441381,0.00590449530842834,1000
"CA-AB-GP",0.7024,0.0992829309629573,0.00527725312861646,1000
"CA-AB-GP",0.7272,0.0928782968042901,0.00469351042791441,1000
