"method","n","unique_doses_mean","unique_doses_se","n_replicates"
"AB-GP",22,5.651,0.0150806639915631,1000
"AB-GP",24,6.466,0.02143136260958,1000
"AB-GP",26,7.252,0.0250024223050712,1000
"AB-GP",28,7.924,0.0278028235436079,1000
"AB-GP",30,8.478,0.0305687822860259,1000
"AB-GP",32,8.951,0.0326445196727516,1000
"AB-GP",34,9.37374749498998,0.0354948453340893,998
"AB-GP",36,9.76659959758551,0.0376055314978789,994
"AB-GP",38,10.1287332646756,0.0394106026631901,971
"AB-GP",40,10.4535864978903,0.0427793367396249,948
"AB-GP",42,10.7684563758389,0.0482302711155904,894
"AB-GP",44,11.0408653846154,0.0537921750730134,832
"AB-GP",46,11.2910547396529,0.0609099912626161,749
"AB-GP",48,11.499243570348,0.0675940000439461,661
"AB-GP",50,11.4334677419355,0.064701121122203,496
"AB-GP",52,11.7132867132867,0.0697675823939146,429
"AB-GP",54,11.9364640883978,0.0758346664450518,362
"AB-GP",56,12.0566037735849,0.0756549963470241,318
"AB-GP",58,11.7511312217195,0.0662369593499566,221
"AB-GP",60,11.7941176470588,0.065441929382689,204
"AB-GP",62,11.7515151515152,0.0657022222667949,165
"AB-GP",64,11.468253968254,0.0571119846055826,126
"AB-GP",66,11.5084745762712,0.0574025671643689,118
"AB-GP",68,11.5,0.0595602505899368,104
"AB-GP",70,10.9047619047619,0.0458437964134508,42
"AB-GP",72,10.9024390243902,0.0469155708821252,41
"AB-GP",74,10.8787878787879,0.0576952508019993,33
"AB-GP",76,10.8518518518519,0.0696696254167378,27
"AB-GP",78,10,0,4
"AB-GP",80,10,0,2
"AB-GP",82,10,NA,1
"CA-AB-GP",22,5.353,0.0151201726054837,1000
"CA-AB-GP",24,5.675,0.0243714785962807,1000
"CA-AB-GP",26,6.086,0.0308148268460745,1000
"CA-AB-GP",28,6.576,0.0320195135698413,1000
"CA-AB-GP",30,7.08,0.0310896536900392,1000
"CA-AB-GP",32,7.527,0.0312449555488122,1000
"CA-AB-GP",34,7.903,0.0323517795126889,1000
"CA-AB-GP",36,8.239,0.0332412993726777,1000
"CA-AB-GP",38,8.531,0.033884910907175,1000
"CA-AB-GP",40,8.82,0.0359568198384242,1000
"CA-AB-GP",42,9.10050251256281,0.0382094958231357,995
"CA-AB-GP",44,9.36528758829465,0.0409073352542651,991
"CA-AB-GP",46,9.58571428571429,0.043360053316312,980
"CA-AB-GP",48,9.81516095534787,0.0462670148675936,963
"CA-AB-GP",50,9.97394136807818,0.0468446196813573,921
"CA-AB-GP",52,10.1439909297052,0.0497433467881268,882
"CA-AB-GP",54,10.2759051186017,0.0555028225371993,801
